District,Floor,FloorCategory,BuildingType,TotalPrice_10kTWD,PricePerPing,Quarter,Status
蘆竹區,十層,Mid (6-10F),Mansion,1150.0,30.14,2026Q1,
蘆竹區,四層,Low (1-5F),Mansion,970.0,27.09,2026Q1,
蘆竹區,二層,Low (1-5F),Mansion,535.0,31.39,2026Q1,
蘆竹區,二十層,High (11-20F),Mansion,250.0,30.62,2026Q1,
蘆竹區,二層,Low (1-5F),Mansion,1510.0,31.17,2026Q1,
蘆竹區,十層,Mid (6-10F),Mansion,1220.0,27.19,2026Q1,
蘆竹區,四層,Low (1-5F),Elevator Building,580.0,17.39,2026Q1,
蘆竹區,六層,Mid (6-10F),Mansion,1088.0,20.59,2026Q1,
蘆竹區,六層,Mid (6-10F),Elevator Building,650.0,20.13,2026Q1,
