District,Floor,FloorCategory,BuildingType,TotalPrice_10kTWD,PricePerPing,Quarter,Status
安平區,七層,Mid (6-10F),Elevator Building,111.0,12.25,2026Q1,
安平區,二層,Low (1-5F),Mansion,612.0,25.06,2026Q1,
安平區,十六層,High (11-20F),Mansion,3706.0,33.59,2026Q1,
安平區,十五層,High (11-20F),Mansion,1750.0,31.45,2026Q1,
安平區,二層,Low (1-5F),Elevator Building,600.0,17.37,2026Q1,
安平區,二十二層,Super High (21F+),Mansion,1078.0,22.74,2026Q1,
安平區,九層,Mid (6-10F),Mansion,1100.0,15.47,2026Q1,
安平區,四層,Low (1-5F),Elevator Building,250.0,22.48,2026Q1,
安平區,七層,Mid (6-10F),Mansion,685.0,20.97,2026Q1,
