District,Floor,FloorCategory,BuildingType,TotalPrice_10kTWD,PricePerPing,Quarter,Status
新營區,三層,Low (1-5F),公寓(5樓含以下無電梯),220.0,7.62,2026Q1,
新營區,全,Unknown,Townhouse,2500.0,44.37,2026Q1,
新營區,七層,Mid (6-10F),Elevator Building,550.0,13.0,2026Q1,
新營區,全,Unknown,Townhouse,550.0,17.35,2026Q1,
