District,Floor,FloorCategory,BuildingType,TotalPrice_10kTWD,PricePerPing,Quarter,Status
關廟區,二層,Low (1-5F),Elevator Building,550.0,15.73,2026Q1,
關廟區,五層,Low (1-5F),Elevator Building,620.0,14.88,2026Q1,
關廟區,五層,Low (1-5F),Elevator Building,570.0,14.54,2026Q1,
關廟區,六層,Mid (6-10F),Elevator Building,570.0,14.54,2026Q1,
關廟區,二層,Low (1-5F),Elevator Building,650.0,17.01,2026Q1,
關廟區,三層,Low (1-5F),Elevator Building,540.0,12.59,2026Q1,
關廟區,三層,Low (1-5F),Elevator Building,650.0,17.01,2026Q1,
關廟區,四層,Low (1-5F),Elevator Building,590.0,14.03,2026Q1,
