District,Floor,FloorCategory,BuildingType,TotalPrice_10kTWD,PricePerPing,Quarter,Status
霧峰區,六層,Mid (6-10F),Mansion,1035.0,33.12,2026Q1,
霧峰區,全,Unknown,Townhouse,1908.0,43.56,2025Q2,
