District,Floor,FloorCategory,BuildingType,TotalPrice_10kTWD,PricePerPing,Quarter,Status
鼓山區,十層,Mid (6-10F),Mansion,945.0,20.99,2026Q1,
鼓山區,全,Unknown,Townhouse,3666.0,40.81,2026Q1,
鼓山區,九層,Mid (6-10F),Mansion,1276.0,21.66,2026Q1,
鼓山區,八層,Mid (6-10F),Mansion,3750.0,44.4,2026Q1,
鼓山區,十一層,High (11-20F),Mansion,1270.0,38.34,2026Q1,
鼓山區,三層,Low (1-5F),Mansion,655.0,29.29,2026Q1,
鼓山區,二十四層,Super High (21F+),Mansion,1650.0,35.88,2026Q1,
鼓山區,十三層,High (11-20F),Mansion,900.0,35.07,2026Q1,
鼓山區,全,Unknown,Townhouse,3150.0,38.64,2026Q1,
